year,city,country,avg_temp,5-Year Moving Average(Pune),year,avg_temp,5-Year Moving Average(Global),,
1796,Pune,India,24.39,,1796,8.27,,,
1797,Pune,India,25.17,,1797,8.51,,,
1798,Pune,India,24.05,,1798,8.67,,,
1799,Pune,India,24.68,,1799,8.51,,,
1800,Pune,India,24.67,24.592,1800,8.48,8.488,,
1801,Pune,India,23.94,24.502,1801,8.59,8.552,,
1802,Pune,India,25.18,24.504,1802,8.58,8.566,,
1803,Pune,India,24.95,24.684,1803,8.5,8.532,,
1804,Pune,India,25.33,24.814,1804,8.84,8.598,,
1805,Pune,India,24.8,24.84,1805,8.56,8.614,,
1806,Pune,India,24.68,24.988,1806,8.43,8.582,,
1807,Pune,India,24,24.752,1807,8.28,8.522,,
1808,Pune,India,24.635,24.689,1808,7.63,8.348,,
1809,Pune,India,24.635,24.55,1809,7.08,7.996,,
1810,Pune,India,24.635,24.517,1810,6.92,7.668,,
1811,Pune,India,24.635,24.508,1811,6.86,7.354,,
1812,Pune,India,24.635,24.635,1812,7.05,7.108,,
1813,Pune,India,24.03,24.514,1813,7.74,7.13,,
1814,Pune,India,23.49,24.285,1814,7.59,7.232,,
1815,Pune,India,23.58,24.074,1815,7.24,7.296,,
1816,Pune,India,23.13,23.773,1816,6.94,7.312,,
1817,Pune,India,23.37,23.52,1817,6.98,7.298,,
1818,Pune,India,23.8,23.474,1818,7.83,7.316,,
1819,Pune,India,23.54,23.484,1819,7.37,7.272,,
1820,Pune,India,23.67,23.502,1820,7.62,7.348,,
1821,Pune,India,24.24,23.724,1821,8.09,7.578,,
1822,Pune,India,24.25,23.9,1822,8.19,7.82,,
1823,Pune,India,24.28,23.996,1823,7.72,7.798,,
1824,Pune,India,24.84,24.256,1824,8.55,8.034,,
1825,Pune,India,24.54,24.43,1825,8.39,8.188,,
1826,Pune,India,24.64,24.51,1826,8.36,8.242,,
1827,Pune,India,24.64,24.588,1827,8.81,8.366,,
1828,Pune,India,24.4,24.612,1828,8.17,8.456,,
1829,Pune,India,24.23,24.49,1829,7.94,8.334,,
1830,Pune,India,24.36,24.454,1830,8.52,8.36,,
1831,Pune,India,24.08,24.342,1831,7.64,8.216,,
1832,Pune,India,24.29,24.272,1832,7.45,7.944,,
1833,Pune,India,24.29,24.25,1833,8.01,7.912,,
1834,Pune,India,24.36,24.276,1834,8.15,7.954,,
1835,Pune,India,23.56,24.116,1835,7.39,7.728,,
1836,Pune,India,23.96,24.092,1836,7.7,7.74,,
1837,Pune,India,23.92,24.018,1837,7.38,7.726,,
1838,Pune,India,23.99,23.958,1838,7.51,7.626,,
1839,Pune,India,24.04,23.894,1839,7.63,7.522,,
1840,Pune,India,24.12,24.006,1840,7.8,7.604,,
1841,Pune,India,23.87,23.988,1841,7.69,7.602,,
1842,Pune,India,24.18,24.04,1842,8.02,7.73,,
1843,Pune,India,23.92,24.026,1843,8.17,7.862,,
1844,Pune,India,23.88,23.994,1844,7.65,7.866,,
1845,Pune,India,24.17,24.004,1845,7.85,7.876,,
1846,Pune,India,24.69,24.168,1846,8.55,8.048,,
1847,Pune,India,24.15,24.162,1847,8.09,8.062,,
1848,Pune,India,24.15,24.208,1848,7.98,8.024,,
1849,Pune,India,24.07,24.246,1849,7.98,8.09,,
1850,Pune,India,24.23,24.258,1850,7.9,8.1,,
1851,Pune,India,24.16,24.152,1851,8.18,8.026,,
1852,Pune,India,24.2,24.162,1852,8.1,8.028,,
1853,Pune,India,24.41,24.214,1853,8.04,8.04,,
1854,Pune,India,24.53,24.306,1854,8.21,8.086,,
1855,Pune,India,24.55,24.37,1855,8.11,8.128,,
1856,Pune,India,24.04,24.346,1856,8,8.092,,
1857,Pune,India,23.69,24.244,1857,7.76,8.024,,
1858,Pune,India,24.35,24.232,1858,8.1,8.036,,
1859,Pune,India,24.41,24.208,1859,8.25,8.044,,
1860,Pune,India,24.19,24.136,1860,7.96,8.014,,
1861,Pune,India,24.06,24.14,1861,7.85,7.984,,
1862,Pune,India,21.86,23.774,1862,7.56,7.944,,
1863,Pune,India,24.635,23.831,1863,8.11,7.946,,
1864,Pune,India,24.635,23.876,1864,7.98,7.892,,
1865,Pune,India,24.64,23.966,1865,8.18,7.936,,
1866,Pune,India,24.65,24.084,1866,8.29,8.024,,
1867,Pune,India,24.69,24.65,1867,8.44,8.2,,
1868,Pune,India,24.61,24.645,1868,8.25,8.228,,
1869,Pune,India,24.66,24.65,1869,8.43,8.318,,
1870,Pune,India,24.28,24.578,1870,8.2,8.322,,
1871,Pune,India,24.31,24.51,1871,8.12,8.288,,
1872,Pune,India,24.32,24.436,1872,8.19,8.238,,
1873,Pune,India,24.4,24.394,1873,8.35,8.258,,
1874,Pune,India,24.42,24.346,1874,8.43,8.258,,
1875,Pune,India,24.49,24.388,1875,7.86,8.19,,
1876,Pune,India,24.89,24.504,1876,8.08,8.182,,
1877,Pune,India,25.13,24.666,1877,8.54,8.252,,
1878,Pune,India,25.07,24.8,1878,8.83,8.348,,
1879,Pune,India,24.03,24.722,1879,8.17,8.296,,
1880,Pune,India,24.57,24.738,1880,8.12,8.348,,
1881,Pune,India,24.51,24.662,1881,8.27,8.386,,
1882,Pune,India,24.29,24.494,1882,8.13,8.304,,
1883,Pune,India,23.89,24.258,1883,7.98,8.134,,
1884,Pune,India,23.94,24.24,1884,7.77,8.054,,
1885,Pune,India,24.34,24.194,1885,7.92,8.014,,
1886,Pune,India,24.42,24.176,1886,7.95,7.95,,
1887,Pune,India,23.94,24.106,1887,7.91,7.906,,
1888,Pune,India,24.72,24.272,1888,8.09,7.928,,
1889,Pune,India,24.74,24.432,1889,8.32,8.038,,
1890,Pune,India,24.51,24.466,1890,7.97,8.048,,
1891,Pune,India,24.64,24.51,1891,8.02,8.062,,
1892,Pune,India,24.7,24.662,1892,8.07,8.094,,
1893,Pune,India,23.89,24.496,1893,8.06,8.088,,
1894,Pune,India,24.55,24.458,1894,8.16,8.056,,
1895,Pune,India,24.6,24.476,1895,8.15,8.092,,
1896,Pune,India,25.29,24.606,1896,8.21,8.13,,
1897,Pune,India,25.01,24.668,1897,8.29,8.174,,
1898,Pune,India,24.89,24.868,1898,8.18,8.198,,
1899,Pune,India,24.95,24.948,1899,8.4,8.246,,
1900,Pune,India,25.29,25.086,1900,8.5,8.316,,
1901,Pune,India,24.81,24.99,1901,8.54,8.382,,
1902,Pune,India,25.35,25.058,1902,8.3,8.384,,
1903,Pune,India,24.41,24.962,1903,8.22,8.392,,
1904,Pune,India,24.69,24.91,1904,8.09,8.33,,
1905,Pune,India,24.45,24.742,1905,8.23,8.276,,
1906,Pune,India,24.51,24.682,1906,8.38,8.244,,
1907,Pune,India,24.49,24.51,1907,7.95,8.174,,
1908,Pune,India,24.3,24.488,1908,8.19,8.168,,
1909,Pune,India,24.47,24.444,1909,8.18,8.186,,
1910,Pune,India,24.22,24.398,1910,8.22,8.184,,
1911,Pune,India,24.78,24.452,1911,8.18,8.144,,
1912,Pune,India,25.01,24.556,1912,8.17,8.188,,
1913,Pune,India,24.64,24.624,1913,8.3,8.21,,
1914,Pune,India,24.69,24.668,1914,8.59,8.292,,
1915,Pune,India,24.79,24.782,1915,8.59,8.366,,
1916,Pune,India,24.59,24.744,1916,8.23,8.376,,
1917,Pune,India,23.91,24.524,1917,8.02,8.346,,
1918,Pune,India,24.76,24.548,1918,8.13,8.312,,
1919,Pune,India,24.78,24.566,1919,8.38,8.27,,
1920,Pune,India,24.87,24.582,1920,8.36,8.224,,
1921,Pune,India,24.77,24.618,1921,8.57,8.292,,
1922,Pune,India,24.57,24.75,1922,8.41,8.37,,
1923,Pune,India,24.56,24.71,1923,8.42,8.428,,
1924,Pune,India,24.87,24.728,1924,8.51,8.454,,
1925,Pune,India,24.61,24.676,1925,8.53,8.488,,
1926,Pune,India,24.86,24.694,1926,8.73,8.52,,
1927,Pune,India,24.54,24.688,1927,8.52,8.542,,
1928,Pune,India,24.71,24.718,1928,8.63,8.584,,
1929,Pune,India,24.84,24.712,1929,8.24,8.53,,
1930,Pune,India,24.61,24.712,1930,8.63,8.55,,
1931,Pune,India,24.88,24.716,1931,8.72,8.548,,
1932,Pune,India,24.59,24.726,1932,8.71,8.586,,
1933,Pune,India,24.38,24.66,1933,8.34,8.528,,
1934,Pune,India,24.26,24.544,1934,8.63,8.606,,
1935,Pune,India,24.37,24.496,1935,8.52,8.584,,
1936,Pune,India,24.67,24.454,1936,8.55,8.55,,
1937,Pune,India,24.43,24.422,1937,8.7,8.548,,
1938,Pune,India,24.34,24.414,1938,8.86,8.652,,
1939,Pune,India,24.6,24.482,1939,8.76,8.678,,
1940,Pune,India,24.59,24.526,1940,8.76,8.726,,
1941,Pune,India,25.57,24.706,1941,8.77,8.77,,
1942,Pune,India,25,24.82,1942,8.73,8.776,,
1943,Pune,India,24.48,24.848,1943,8.76,8.756,,
1944,Pune,India,24.75,24.878,1944,8.85,8.774,,
1945,Pune,India,24.4,24.84,1945,8.58,8.738,,
1946,Pune,India,24.76,24.678,1946,8.68,8.72,,
1947,Pune,India,24.79,24.636,1947,8.8,8.734,,
1948,Pune,India,25.06,24.752,1948,8.75,8.732,,
1949,Pune,India,24.82,24.766,1949,8.59,8.68,,
1950,Pune,India,24.54,24.794,1950,8.37,8.638,,
1951,Pune,India,24.98,24.838,1951,8.63,8.628,,
1952,Pune,India,24.98,24.876,1952,8.64,8.596,,
1953,Pune,India,25.09,24.882,1953,8.87,8.62,,
1954,Pune,India,24.68,24.854,1954,8.56,8.614,,
1955,Pune,India,24.68,24.882,1955,8.63,8.666,,
1956,Pune,India,24.5,24.786,1956,8.28,8.596,,
1957,Pune,India,24.95,24.78,1957,8.73,8.614,,
1958,Pune,India,25.28,24.818,1958,8.77,8.594,,
1959,Pune,India,25.11,24.904,1959,8.73,8.628,,
1960,Pune,India,25.02,24.972,1960,8.58,8.618,,
1961,Pune,India,24.66,25.004,1961,8.8,8.722,,
1962,Pune,India,24.66,24.946,1962,8.75,8.726,,
1963,Pune,India,24.8,24.85,1963,8.86,8.744,,
1964,Pune,India,24.63,24.754,1964,8.41,8.68,,
1965,Pune,India,24.96,24.742,1965,8.53,8.67,,
1966,Pune,India,25.26,24.862,1966,8.6,8.63,,
1967,Pune,India,25.05,24.94,1967,8.7,8.62,,
1968,Pune,India,24.68,24.916,1968,8.52,8.552,,
1969,Pune,India,25.37,25.064,1969,8.6,8.59,,
1970,Pune,India,24.74,25.02,1970,8.7,8.624,,
1971,Pune,India,24.54,24.876,1971,8.6,8.624,,
1972,Pune,India,25.31,24.928,1972,8.5,8.584,,
1973,Pune,India,25.18,25.028,1973,8.95,8.67,,
1974,Pune,India,24.87,24.928,1974,8.47,8.644,,
1975,Pune,India,24.47,24.874,1975,8.74,8.652,,
1976,Pune,India,25.05,24.976,1976,8.35,8.602,,
1977,Pune,India,25.3,24.974,1977,8.85,8.672,,
1978,Pune,India,24.81,24.9,1978,8.69,8.62,,
1979,Pune,India,25.28,24.982,1979,8.73,8.672,,
1980,Pune,India,25.33,25.154,1980,8.98,8.72,,
1981,Pune,India,25,25.144,1981,9.17,8.884,,
1982,Pune,India,25.21,25.126,1982,8.64,8.842,,
1983,Pune,India,24.7,25.104,1983,9.03,8.91,,
1984,Pune,India,24.99,25.046,1984,8.69,8.902,,
1985,Pune,India,25.02,24.984,1985,8.66,8.838,,
1986,Pune,India,25.26,25.036,1986,8.83,8.77,,
1987,Pune,India,25.61,25.116,1987,8.99,8.84,,
1988,Pune,India,25.29,25.234,1988,9.2,8.874,,
1989,Pune,India,24.86,25.208,1989,8.92,8.92,,
1990,Pune,India,24.78,25.16,1990,9.23,9.034,,
1991,Pune,India,25.06,25.12,1991,9.18,9.104,,
1992,Pune,India,25.14,25.026,1992,8.84,9.074,,
1993,Pune,India,25.06,24.98,1993,8.87,9.008,,
1994,Pune,India,24.84,24.976,1994,9.04,9.032,,
1995,Pune,India,25.24,25.068,1995,9.35,9.056,,
1996,Pune,India,25.34,25.124,1996,9.04,9.028,,
1997,Pune,India,25.21,25.138,1997,9.2,9.1,,
1998,Pune,India,25.55,25.236,1998,9.52,9.23,,
1999,Pune,India,25.1,25.288,1999,9.29,9.28,,
2000,Pune,India,25.11,25.262,2000,9.2,9.25,,
2001,Pune,India,25.34,25.262,2001,9.41,9.324,,
2002,Pune,India,25.58,25.336,2002,9.57,9.398,,
2003,Pune,India,25.75,25.376,2003,9.53,9.4,,
2004,Pune,India,25.32,25.42,2004,9.32,9.406,,25.132
2005,Pune,India,25.09,25.416,2005,9.7,9.506,,25.44571429
2006,Pune,India,25.31,25.41,2006,9.53,9.53,,
2007,Pune,India,25.58,25.41,2007,9.73,9.562,,
2008,Pune,India,25.23,25.306,2008,9.43,9.542,,
2009,Pune,India,25.87,25.416,2009,9.51,9.58,,
2010,Pune,India,25.75,25.548,2010,9.7,9.58,,
2011,Pune,India,25.16,25.518,2011,9.52,9.578,,
2012,Pune,India,25.3,25.462,2012,9.51,9.534,,
2013,Pune,India,25.85,25.586,2013,9.61,9.57,,
,,,,,,,,,
